Country_code,Latitude,Longitude
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
ae,23.424076,53.847818
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
af,33.93911,67.709953
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
al,41.153332,20.168331
am,40.069099,45.038189
am,40.069099,45.038189
am,40.069099,45.038189
am,40.069099,45.038189
am,40.069099,45.038189
am,40.069099,45.038189
am,40.069099,45.038189
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ao,-11.202692,17.873887
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
ar,-38.416097,-63.616672
